,Title,CompanyName,Rating,Location,Summary,date,Url,Details
104,Advanced Analytics Expert - Data Scientist,Hewlett Packard Enterprise,3.8,"Bengaluru, Karnataka",Provide scenario analyses to highlight data deficiencies.Run POCs / Tests / e2e data science life cycles as needed to help adoption/realize value from data.,16 days ago,https://www.indeed.com/viewjob?jk=580d629b467e5db0,HPE Global Operations – Advanced Analytics Expert Hewlett Packard Enterprise creates new possibiliti...
105,Data Scientist,Unnati,3.8,"Bengaluru, Karnataka",Collaborating with data engineers & architects to implement and deploy scalable solutions.His team of top scientists and pedagogy experts are focusing on…,1 day ago,https://www.indeed.com/viewjob?jk=ec11d02b46cca64d,Data Scientist | Analytics Consulting Company Experience: 2.0 - 4.0 Years | CTC: Confidential | Fun...
106,Data Scientist-(H/F),Societe Generale Global Solution Centre Private Li...,3.9,"Bengaluru, Karnataka","Prior experience with data visualization tools, such as D3.js, GGplot, etc..Model design, feature planning, system infrastructure, production setup and…",30+ days ago,https://www.indeed.com/viewjob?jk=949b6acd34599629,"Vos missions au quotidien Model design, feature planning, system infrastructure, production setup a..."
107,Senior Data Scientist - Chatbot & NLP,,,"Bengaluru, Karnataka","We’re a family of 10 data folk who field analytical, decision science, and data science related issues for our consumers, and work to understand their behavior,…",23 days ago,https://www.indeed.com/viewjob?jk=810f2f0bef1b85fc,About the Role Dive with us in developing state of the art Chatbots that take care of our user and e...
108,Data Scientist II,Caterpillar,3.9,"Bengaluru, Karnataka",The Data Scientist II also mentors and develops the capabilities and organizational knowledge of more junior data scientists and associates.,21 days ago,https://www.indeed.com/viewjob?jk=25a8b13b492e3e99,"Description Career Area: Information Analytics Job Description: Caterpillar Inc. is more than big, h..."
109,Staff Data Scientist,Juniper Networks,4.1,"Bengaluru, Karnataka","As a data scientist you will collaborate with product managers and domain specialists to identify use-impacting real customer problems, use your deep DS/ML…",30+ days ago,https://www.indeed.com/viewjob?jk=4f23847c4772ca83,"Data Scientist Mist, a Juniper Company, is the first vendor to bring enterprise-grade Wi-Fi, BLE and..."
110,Senior Data Scientist,PayPal,3.9,"Bengaluru, Karnataka","Collaborate with external partners, including external credit/banking partners and data vendors.Through a combination of technological innovation and strategic…",30+ days ago,https://www.indeed.com/viewjob?jk=f874bbca9aacef57,Who we are: Fueled by a fundamental belief that having access to financial services creates opportun...
111,Data Scientist Lead,"JPMorgan Chase Bank, N.A.",3.9,"Bengaluru, Karnataka",The team is looking for a hands-on senior software manager to build a new team from scratch and lead a small team of 4-5 data scientists.,Today,https://www.indeed.com/viewjob?jk=cc44cbbd4cb2afe3,VP - AI ML Client Services Ops and Tech This role will be responsible for all aspects of software de...
112,Head of Machine Learning Data Engineering,,,"HSR Layout, Bengaluru, Karnataka","Experience in defining strategy, building and running teams of 20+ data engineers or data scientists.Extensive data analysis and interpretation background to…",Just posted,https://www.indeed.com/viewjob?jk=9c983aa19fa7eff6,Company Description BlueOptima provides industry-leading objective metrics in software development u...
113,Head of Machine Learning Data Engineering,TeamViewer GmbH,3.4,"HSR Layout, Bengaluru, Karnataka","Experience in defining strategy, building and running teams of 20+ data engineers or data scientists.Extensive data analysis and interpretation background to…",Just posted,https://www.indeed.com/viewjob?jk=5f900867e4d39457,Company Description BlueOptima provides industry-leading objective metrics in software development u...
114,Data Scientist,Kaplan,3.7,"Bengaluru, Karnataka","Collaborate and help other data scientists.Expertise in statistical methods, statistical analysis, data visualization, and data mining techniques.",30+ days ago,https://www.indeed.com/viewjob?jk=47b79dd7e51313e8,Job Title Data Scientist Job Description Data Scientist (KHE India) Do you have a passion for using ...
115,Data Scientist - Business Analytics,Philips,4.0,"Bengaluru, Karnataka","Ability to present facts based on data and in working with very large quantum of data.Expertize in predictive analytics techniques, and data mining.",30+ days ago,https://www.indeed.com/viewjob?jk=69041975cabdee64,Job Title Data Scientist - Business Analytics Job Description Support business in their decision mak...
116,Lead Data Scientist,freshworks,4.4,"Bengaluru, Karnataka",We have data on both voice and texts.Build efficient systems for processing large amounts of data; be proficient with distributed programming frameworks such…,30+ days ago,https://www.indeed.com/viewjob?jk=b7f3e64270445110,About Freshworks:- Freshworks provides innovative customer engagement software for businesses of all...
117,Data Scientist Technical Lead,Google,4.3,"Bengaluru, Karnataka","12 years of tech industry work experience as a statistician, bioinformatician, or data scientist.At Google, data drives all of our decision-making.",30+ days ago,https://www.indeed.com/viewjob?jk=5fac0180cc71b999,Due to the current health crisis related to COVID-19 and the escalating visa/travel restrictions in ...
118,"Data Scientist, Senior Manager",,,"Bengaluru, Karnataka",Experience managing a team of data scientists and leading them to create business relevant data science solutions.,30+ days ago,https://www.indeed.com/viewjob?jk=d9a730476b9e7301,"Location Bengaluru Work Type Permanent Application Posted March 1, 2021 About the Role Gojek is comm..."
119,Senior Data Scientist,Bewakoof,3.7,"Bengaluru, Karnataka","Lead and mentor a team of data scientists and business analysts.Use relevant statistical measures such as confidence intervals, significance of error…",30+ days ago,https://www.indeed.com/viewjob?jk=0f8f028530f794bb,"Whats it About: Can you understand the business reality and opportunities behind large sets of data,..."
120,Head of Machine Learning Data Engineering,,,"HSR Layout, Bengaluru, Karnataka","Experience in defining strategy, building and running teams of 20+ data engineers or data scientists.Extensive data analysis and interpretation background to…",Just posted,https://www.indeed.com/viewjob?jk=9c983aa19fa7eff6,Company Description BlueOptima provides industry-leading objective metrics in software development u...
